@relation isHeader-weka.filters.unsupervised.instance.Randomize-S434-weka.filters.unsupervised.instance.Randomize-S434-weka.filters.unsupervised.instance.Randomize-S323

@attribute CellContent string
@attribute classa {yes,no}

@data
Prescribing Recommendations  ,yes
'Immunosuppressants: Cyclosporine, tacrolimus, sirolimus',no
CarbamazepineHydantoinsPhenobarbitalRifampin,no
'Nevirapine and ketoconazole should not be administered concomitantly because decreases in ketoconazole plasma concentrations may reduce the efficacy of the drug.',no
'Ergot alkaloids: Ergotamine',no
Lopinavir/Ritonavir*,no
'hyperthyroidismpoor nutritional statesteatorrheavitamin K deficiency',no
0.51 ,no
'Analgesics:Methadone* ',no
'Plasma concentrations     of boceprevir may be decreased due to induction of CYP3A4/5 by nevirapine',no
'Other Agents',yes
2 or 3 mg twicedaily,no
' Ratio (with/without azithromycin) of Coadministered Drug Pharmacokinetic Parameters (90\% CI); No Effect = 1.00 ',yes
'Nevirapine and boceprevir should not be coadministered because decreases in boceprevir plasma concentrations may result in a reduction in efficacy.',no
'Interaction ',yes
'Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, Ieading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30\% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).',no
'OATP1B1 and BCRP Substrate',yes
Probenecid,no
'Effect on Concentration of Nevirapine or Concomitant Drug',yes
'No dosing adjustments are required when nevirapine is co-administered with 700/100 mg of fosamprenavir/ritonavir twice daily. The combination of nevirapine administered with fosamprenavir/ritonavir once daily has not been studied.',no
'Serum digitalis glycoside levels may be reduced in hyperthyroidism or when the hypothyroid patient is converted to the euthyroid state. Therapeutic effect of digitalis glycosides may be reduced.',no
Re-evaluate dosing. ,no
Dosing Schedule,yes
'Drug Name ',yes
'Stimulation of hepatic microsomal drug-metabolizing enzyme activity may cause increased hepatic degradation of levothyroxine, resulting in increased Ievothyroxine requirements. Phenytoin and carbamazepine reduce serum protein binding of levothyroxine, and total- and free-T may be reduced by 20\% to 40\%, but most patients have normal serum TSH levels and are clinically euthyroid.',no
5-Fluorouracil,no
Cmax(ng/mL),yes
AUC,yes
Dosing Schedule,yes
'Avoid Use(Plasma Exposure Likely to be Increased and Prolonged) ',no
'Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate',no
'AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide',no
'Calcium channel blockers: Diltiazem, nifedipine, verapamil',no
'Plasma concentrations may be decreased.',no
'Table III. Drugs That Have Been Documented Not to Interact With Theophylline or Drugs That Produce No Clinically Significant Interaction With Theophylline*',no
Comments,yes
'diarrheaelevated temperaturehepatic disorders  infectious hepatitis  jaundice',no
Cmax,yes
Effect on ActiveMoiety (Risperidone + 9-Hydroxy- Risperidone (Ratio*),yes
'Drugs that may increase thyroid hormone secretion, whichmay result in hyperthyroidism',yes
'For patients with HoFH, do not exceed 20 mg simvastatin daily*',no
Effect on ActiveMoiety(Risperidone + 9-Hydroxy-Risperidone (Ratio*),yes
'Clinical Comment',yes
'Avoid UseFive-fold increase in duloxetine exposure',no
'AUC(0-24h)(ng × h/mL)',yes
'Clinical Recommendation',yes
'OATP1B1 Inhibitors',yes
'Dosing in adult patients:  A dose adjustment of lopinavir/ritonavir to 500/125 mg tablets twice daily or 533/133 mg (6.5 mL) oral solution twice daily is recommended when used in combination with nevirapine. Neither lopinavir/ritonavir tablets nor oral solution should be administered once daily in combination with nevirapine.  Dosing in pediatric patients:  Please refer to the Kaletra® prescribing information for dosing recommendations based on body surface area and body weight. Neither lopinavir/ritonavir tablets nor oral solution should be administered once daily in combination with nevirapine.',no
20 mg/day,no
2 or 3 mg twicedaily,no
'Anticoagulants (oral) - Coumarin Derivatives - Indandione Derivatives',no
' Prescribing Recommendations ',yes
Risperidone ,no
'Androgens / Anabolic SteroidsAsparaginaseGlucocorticoidsSlow-Release Nicotinic Acid',no
'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)',no
'TopiramateConcentration ',yes
1.3,no
500 mg four timesdaily,no
ClinicalComment,yes
1.8,no
'Non-steroidal anti-inflammatory drugs (but not acetyl salicylic acid) in combination of very high doses of quinolones have been shown to provoke convulsions in pre-clinical studies and in postmarketing.',no
Recommendation,yes
'Potentiation of CIPRO XR toxicity may occur.',no
'AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide',no
'Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30\%.',no
'hypothyroidism nephrotic syndrome',no
'CmaxSS(Peak plasma concentration)',yes
'Drugs that may reduce TSH secretion –the reduction is not sustained; therefore, hypothyroidism does not occur',yes
'Drugs that may increase hepatic metabolism, whichmay resultin hypothyroidism',yes
'Ratio (with/without CRIXIVAN) of Coadministered DrugPharmacokinetic Parameters (90\% CI); No Effect = 1.00',yes
573 ± 168 mg/day,no
'Table IV. Drugs that haveeen documented not to interact with theophyllineor drugs that produce no clinically significantinteraction with theophylline.Refer to PRECAUTIONS, Drug Interactions forinformation regarding table.',no
'Drugs that alter thyroid hormone secretion',yes
'Hepatitis C Antiviral Agents  ',yes
'Other Drugs / Dietary Supplements',yes
1.3,no
Re-evaluate dosing. Do not exceed 8 mg/day,no
'Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with ciprofloxacin are advised.',no
'Type of Interaction',yes
'* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.',no
AEDConcentration,yes
150 mg twice daily,no
'Nevirapine and rifampin should not be administered concomitantly because decreases in nevirapine plasma concentrations may reduce the efficacy of the drug. Physicians needing to treat patients co-infected with tuberculosis and using a nevirapine-containing regimen may use rifabutin instead.',no
'Atazanavir 300 mg/100 mg?42 (?52 to ?29)',no
'Use with caution Inhibition of methotrexate renal tubular transport potentially leading to increased methotrexate plasma levels',no
'\% Change of CoadministeredDrug Pharmacokinetic ParametersThe 90\% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.All studies conducted in healthy volunteers at least 60 kg with creatinine clearance of at least 60 mL/min.',no
Effect,yes
' n ',yes
'Influence of AED on MHD Concentration(Mean Change, 90\% Confidence Interval)',yes
0.51 ,no
'Drugs that may increase',yes
'Drugs that alter thyroid hormone secretion',yes
1.3,no
'AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide',no
'Oral drugs that have to be separated from Phoslyra',yes
'EffectAverage effect on steady state theophylline concentration or other clinical effect for pharmacologic interactions. Individual patients may experience larger changes in serum theophylline concentration than the value listed. ',no
Avoid grapefruit juice  ,no
20 mg/day ,no
Anticonvulsants ,yes
'Other Drugs/Dietary Supplements ',yes
Refrigerated(4°C),no
'Atazanavir 300 mg/100 mg?28 (?40 to ?14)',no
'Stimulation of hepatic microsomal drug-metabolizing enzyme activity may cause increased hepatic degradation of levothyroxine, resulting in increased levothyroxine requirements.Phenytoin and carbamazepine reduce serum protein binding of levothyroxine, and total- and free-T4 may be reduced by 20\% to 40\%, but most patients have normal serum TSH levels and are clinically euthyroid.',no
Interaction,yes
'¯ Efavirenz',no
'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)',no
'Dose Regimen of Nevirapine',yes
DidanosineDosage,yes
'Dosage Adjustment of Aripiprazole',yes
'AUC(0-24h)(ng × h/mL)',yes
'Avoid Use Five-fold increase in duloxetine exposure',no
'Concurrent administration of CIPRO XR with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).]',no
'Addition of carbamazepine decreases lamotrigine concentration approximately 40\%.May increase carbamazepine epoxide levels.',no
Contraindicated,no
'I.Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:',no
40 mg/day ,no
'Recommendations forVoriconazole Dosage Adjustment/Comments',yes
'Antacids - Aluminum & Magnesium Hydroxides - Simethicone Bile Acid Sequestrants - Cholestyramine - Colestipol Calcium Carbonate Cation Exchange Resins - Kayexalate Ferrous Sulfate Orlistat Sucralfate',no
'Estrogens (oral)',no
1.5,no
500 mg four timesdaily,no
' Dose of Azithromycin ',yes
1.5,no
'Drugs that may decrease T bsorption, which may result in hypothyroidism',yes
'Ratio (with/without coadministered drug) of IndinavirPharmacokinetic Parameters (90\% CI); No Effect = 1.00',yes
'Topiramate  Concentration ',yes
AUC,yes
Tmax(hr),yes
'Type Of Interaction',yes
'Prescribing Recommendations ',yes
'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)',no
'HIV Antiviral Agents',yes
'Table 1: Oral drugs that can be administered concomitantly with Auryxia',no
Drug,yes
'Concurrent use may increase the effects of sympathomimetics or thyroid hormone.Thyroid hormones may increase the risk of coronary insufficiency when sympathomimetic agents are administered to patients with coronary artery disease.',no
'Drugs that may increase thyroid hormone secretion, which may result in hyperthyroidism',yes
'Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly',yes
InteractionInteraction,yes
'Cmaxof Stavudine(95\% CI)',yes
'Decrease ciprofloxacin absorption, resulting in lower serum and urine levels ',no
'Stavudine  Dosage',yes
'Antiarrhythmics:Amiodarone, disopyramide, lidocaine ',no
'Drugs that may decrease T\' - deiodinase activity',yes
'St. John’s Wort',no
Males(n=106),yes
'200 mg BID day 1 to 23. Subjects were treated with nevirapine prior to trial entry.',no
'Vardenafil 10 mgPlacebo-subtracted ',yes
3 mg twice daily,no
'Prescribing Recommendations for LIPTRUZET',yes
' Effect',yes
Dose adjustment notneeded,no
AUC,yes
'Potentiation of ciprofloxacin toxicity may occur. ',no
'Antacids - Aluminum & Magnesium Hydroxides - Simethicone Bile Acid Sequestrants - Cholestyramine - Colestipol Calcium Carbonate Cation Exchange Resins - Kayexalate Ferrous Sulfate Orlistat Sucralfate',no
Do not exceed 20 mg simvastatin daily ,no
'¯Nelfinavir M8 Metabolite¯Nelfinavir Cmin',no
'Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives',no
'Effect on Concentration',yes
'Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with CIPRO XR are advised.',no
'Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)] ',no
'AUCSS(0–12h)(Extent of systemic exposure)',no
'Probenecid ',no
'CLINICAL EFFECT(S)',yes
Clinical Comment ,yes
'Drugs that may decrease T bsorption, which may result in hypothyroidism',yes
AED Concentration,yes
' Mean AUC ',yes
'2 or 3 mg twice daily',no
'Boceprevir ',no
'¯ Itraconazole',no
'Estrogen-containing oral',no
4 mg/day,no
'Drugs That Interfere with Hemostasis',yes
'Use with cautionInhibition of methotrexate renal tubular transport potentially leading to increased methotrexate plasma levels ',no
'Table 3 Established and Potential Drug Interactions: Use With Caution, Alteration in Dose or Regimen May Be Needed Due to Drug Interaction Established Drug Interactions: See Clinical Pharmacology (12.3), Table 4 for Magnitude of Interaction. ',no
'Monitor for sildenafil toxicity (see Pharmacokinetics 12.3). ',no
'Drug Name  ',yes
'Administration of these enzyme inhibitors decrease the peripheral conversion of T to T , leading to decreased T levels. However, serum T levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T and T levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T concentrations by 30\% with minimal change in serum T levels. However, long-term glucocorticoid therapy may result in slightly decreased T and T levels due to decreased TBG production (see above).',no
573 ± 168 mg/day,no
'Ciprofloxacin should be taken at least two hours before or six hours after Multivalent cation-containing products administration [see Dosage and Administration. (2)]. ',no
'Indinavir* ',no
'Concurrent use of tri/tetracyclic antidepressants and levothyroxine may increase the therapeutic and toxic effects of both drugs, possibly due to increased receptor sensitivity to catecholamines.Toxic effects may include increased risk of cardiac arrhythmias and CNS stimulation; onset of action oftricyclics may be accelerated.Administration of sertraline in patients stabilized on levothyroxine may result in increased levothyroxine requirements.',no
Interaction,yes
1.3,no
400 mg twice daily,no
Effect,yes
'Conjugated Estrogens',yes
'Ratio (90\% Confidence Interval) of Tipranavir PharmacokineticParameters with/withoutCo-administered Drug; No Effect = 1.00',yes
'Drugs that may decrease T4 5\'-deiodinase activity',yes
'AEDConcentration ',yes
'Co-administered Drug Dose (Schedule)',yes
Recommendation,yes
1.3,no
'Recommendations for Voriconazole Dosage Adjustment/Comments',yes
'Antacids- Aluminum & MagnesiumHydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate',no
'Co-administration of nevirapine and fosamprenavir without ritonavir is not recommended.  No dosing adjustments are required when nevirapine is co-administered with 700/100 mg of fosamprenavir/ritonavir twice daily. The combination of nevirapine administered with fosamprenavir/ritonavir once daily has not been studied. ',no
1.2 ,no
'? Atazanavir ? Nevirapine ',no
'DESCRIPTION OF INTERACTION',yes
diltiazem ,no
AUC,yes
'Antifungals: Fluconazole*',no
'Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine Nitroprusside Para-aminosalicylate sodium Perphenazine Resorcinol (excessive topical use) Thiazide Diuretics',no
'?Amprenavir ?Nevirapine   ?Amprenavir ?Nevirapine  ',no
'Effect on Active Moiety (Risperidone + 9- Hydroxy- Risperidone (Ratio*)',yes
'Clinical Recommendation',yes
'Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate',no
AUC,yes
'Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).] ',no
'hyperthyroidism poor nutritional state steatorrhea vitamin K deficiency',no
'Probenecid ',no
'Effect on Concentration of Nevirapine or Concomitant Drug ',yes
'Effect on Concentration of   Nevirapine or                               Concomitant Drug',yes
'Drug Plasma Exposure(Cmax and AUC?)',yes
Effect on ActiveMoiety (Risperidone + 9-Hydroxy- Risperidone (Ratio*),yes
'AUC0–24 hrs',no
'Decreases tubular reabsorption; clinical toxicity from methotrexate can result.',no
'The risk may vary with the underlying infection, age and general status of the patient so that the contribution of CIPRO XR to the increase in INR (international normalized ratio) is difficult to assess. Monitor prothrombin time and INR frequently during and shortly after co-administration of CIPRO XR with an oral anti-coagulant (for example, warfarin).',no
'Vardenafil20 mgPlacebo-Subtracted',yes
Miscellaneous,yes
1.2 ,no
1.4,no
'Effect on concentration of Nevirapine or Concomitant drug',yes
'Effect on Concentration of Etravirine or Concomitant Drug',yes
'Androgens / Anabolic Steroids',no
'Efavirenz* ',no
'Drugs that may increase hepatic metabolism, which may result in hypothyroidism',yes
'Didanosine Dosage',yes
'Hypoglycemia potentiated',no
'Drugs That are Affected by CIPRO ',yes
'Dopamine/Dopamine Agonists Glucocorticoids Octreotide',no
'Comments ',yes
'Mean (SD) Pharmacokinetic Parameters in Healthy Young Subjects (n=15)',yes
'HIV Antiviral Agents: Protease Inhibitors (PIs)',yes
'DISCRIPTION OF INTERACTION',yes
'Topiramate Concentration ',yes
'Effect on Concentration of Rilpivirine or Concomitant Drug ',yes
Prescribing Recommendations ,yes
Dose adjustment notneeded,no
Interaction ,yes
'Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx® (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) ',no
Probenecid,no
'Drugs that may decrease Tbsorption, which may result in hypothyroidism',yes
Risperidone DoseRecommendation,yes
DigoxinEnalaprilIronMetoprololWarfarin,no
'Atazanavir 300 mg/100 mg?72 (?80 to ?60)',no
'Risperidone Dose Recommendation ',yes
40 mg/day ,no
'Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly',yes
'Oxcarbazepine Dose(mg/day)',yes
1.4,no
'Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)',no
'Oral drugs thathave demonstrated interaction with sevelamer and are to be dosed separately from Renvela',yes
